"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type",Comment,Date,Impressions,Reach,Shares,Follows,"Profile visits",Replies,"Link clicks","Product button clicks","Sticker taps",Navigation
18047985955397276,17841454488074241,viderma.sports,"Viderma Sports",,15,"02/04/2023 00:02",https://instagram.com/stories/viderma.sports/3030645153539922992,"IG story",,Lifetime,51,48,0,0,0,0,0,0,0,42
17952357335279013,17841454488074241,viderma.sports,"Viderma Sports",,15,"02/03/2023 14:02",https://instagram.com/stories/viderma.sports/3030324662694433624,"IG story",,Lifetime,38,36,0,0,0,0,0,0,0,36
17861602961840059,17841454488074241,viderma.sports,"Viderma Sports",,15,"02/03/2023 14:02",https://instagram.com/stories/viderma.sports/3030324482448298181,"IG story",,Lifetime,36,34,0,0,0,0,0,0,0,37
17908671746703923,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/02/2023 02:02",https://instagram.com/stories/viderma.sports/3029249980410418990,"IG story",,Lifetime,32,32,0,0,0,0,0,0,0,37
18035765461403409,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/01/2023 16:02",https://instagram.com/stories/viderma.sports/3028931539782746178,"IG story",,Lifetime,36,35,0,0,0,0,0,0,0,37
18250473064176754,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/01/2023 07:02",https://instagram.com/stories/viderma.sports/3028677561320878612,"IG story",,Lifetime,42,42,0,0,0,0,0,0,0,39
17944200224399576,17841454488074241,viderma.sports,"Viderma Sports",,10,"02/01/2023 06:02",https://instagram.com/stories/viderma.sports/3028636141457864613,"IG story",,Lifetime,32,32,0,0,0,0,0,0,0,35
17931815591624924,17841454488074241,viderma.sports,"Viderma Sports",,15,"01/29/2023 13:01",https://instagram.com/stories/viderma.sports/3026674834735292512,"IG story",,Lifetime,36,36,0,0,0,0,0,0,0,44
17974860205891416,17841454488074241,viderma.sports,"Viderma Sports",,10,"01/28/2023 10:01",https://instagram.com/stories/viderma.sports/3025853517534371961,"IG story",,Lifetime,33,33,0,0,0,1,0,0,0,38
17991441871732480,17841454488074241,viderma.sports,"Viderma Sports",,0,"01/27/2023 11:01",https://instagram.com/stories/viderma.sports/3025156889512766199,"IG story",,Lifetime,44,43,0,0,1,0,0,0,0,47
17995333513632232,17841454488074241,viderma.sports,"Viderma Sports","<10 MESES> 92KG 83KG",0,"01/26/2023 08:01",https://instagram.com/stories/viderma.sports/3024336345263402889,"IG story",,Lifetime,83,81,0,0,0,1,0,0,0,90
17931513413626243,17841454488074241,viderma.sports,"Viderma Sports","@JAGUARIBETHOMAS CAMPEÃO DA @COPINHA COM O @FLAMENGO 🏆",0,"01/26/2023 06:01",https://instagram.com/stories/viderma.sports/3024283574954867481,"IG story",,Lifetime,80,78,0,0,0,0,0,0,2,87
17991065197733065,17841454488074241,viderma.sports,"Viderma Sports",,15,"01/25/2023 04:01",https://instagram.com/stories/viderma.sports/3023506240597786854,"IG story",,Lifetime,34,32,0,0,0,0,0,0,0,36
17955557774368733,17841454488074241,viderma.sports,"Viderma Sports",,15,"01/22/2023 14:01",https://instagram.com/stories/viderma.sports/3021623454374844424,"IG story",,Lifetime,23,23,0,0,0,0,0,0,0,28
17925082097639149,17841454488074241,viderma.sports,"Viderma Sports",,15,"01/19/2023 14:01",https://instagram.com/stories/viderma.sports/3019470470954158250,"IG story",,Lifetime,37,35,0,0,1,0,0,0,0,37
18264218971189975,17841454488074241,viderma.sports,"Viderma Sports",,0,"01/18/2023 16:01",https://instagram.com/stories/viderma.sports/3018793171224755556,"IG story",,Lifetime,55,53,0,0,1,0,0,0,0,61
17971553936016784,17841454488074241,viderma.sports,"Viderma Sports",,14,"01/17/2023 14:01",https://instagram.com/stories/viderma.sports/3018003940957626511,"IG story",,Lifetime,31,29,0,0,0,0,0,0,0,38
